,category1,category2,distance_between_categories
0,2000-05_2,2000-05_2,0.0
1,2000-05_2,2000-05_4,0.002250003431183131
2,2000-05_2,2000-05_7,0.0023118127566328275
3,2000-05_2,2000-05_8,0.0020549976636645836
4,2000-05_2,2000-06_2,1.699383775870664e-05
5,2000-05_2,2000-06_4,0.0021260344765196416
6,2000-05_2,2000-06_5,0.0031800536656871534
7,2000-05_2,2000-06_6,0.002072769756746975
8,2000-05_2,2000-06_8,0.0032041294586986568
9,2000-05_2,2000-07_3,0.0027234547737323895
10,2000-05_2,2000-07_4,0.0025618672787695246
11,2000-05_2,2000-07_5,0.003658742935040185
12,2000-05_2,2000-07_6,0.000650749598530128
13,2000-05_2,2000-07_7,0.0029448862303029354
14,2000-05_2,2000-07_8,0.0026301560112968543
15,2000-05_2,2000-07_10,0.0033357662550786045
16,2000-05_2,2000-08_1,0.0021854093232391977
17,2000-05_2,2000-08_2,0.0032667774803207595
18,2000-05_2,2000-08_3,0.000765687234707521
19,2000-05_2,2000-08_6,0.0030331306117793813
20,2000-05_2,2000-08_8,0.0014062061375643567
21,2000-05_2,2000-08_9,0.0029652165041409613
22,2000-05_2,2000-09_2,0.042332573057323734
23,2000-05_2,2000-09_3,0.042324946897883464
24,2000-05_2,2000-09_4,0.043627217385289775
25,2000-05_2,2000-09_5,0.040537209358323285
26,2000-05_2,2000-09_9,0.04331609691538007
27,2000-05_2,2000-09_10,0.04358713935119657
28,2000-05_2,2000-09_13,0.0026000333452394116
29,2000-05_2,2000-10_2,0.04544566817951898
30,2000-05_2,2000-10_3,0.04402877417650115
31,2000-05_2,2000-10_4,0.04243551073407586
32,2000-05_2,2000-10_6,0.04154826000195038
33,2000-05_2,2000-10_9,0.04230326764226933
34,2000-05_2,2000-11_1,0.36305911368360394
35,2000-05_2,2000-11_2,0.48499059470354333
36,2000-05_2,2000-11_4,0.3241722829732261
37,2000-05_2,2000-11_7,0.5209964501315646
38,2000-05_2,2000-11_8,0.5203774774761944
39,2000-05_2,2000-11_9,0.4445725985218769
40,2000-05_2,2000-11_13,0.32628686498875153
41,2000-05_2,2000-12_1,0.6000602359093482
42,2000-05_2,2000-12_4,0.5973260444945429
43,2000-05_2,2000-12_5,0.5983930808594304
44,2000-05_2,2000-12_6,0.5224095157425387
45,2000-05_2,2000-12_9,0.44288275210662564
46,2000-05_2,2000-12_10,0.36380969616868114
47,2000-05_2,2000-12_11,0.480812900641675
48,2000-05_2,2001-01_1,0.6016429073433655
49,2000-05_2,2001-01_2,0.5228959977832209
50,2000-05_2,2001-01_3,0.6753195588862444
51,2000-05_2,2001-01_4,0.5959074789692812
52,2000-05_2,2001-01_5,0.5586185645578231
53,2000-05_2,2001-01_6,0.20665092845883962
54,2000-05_2,2001-01_10,0.5596622146800531
55,2000-05_2,2001-02_2,0.6784053274950345
56,2000-05_2,2001-02_3,0.6003668792071317
57,2000-05_2,2001-02_4,0.5630251414447044
58,2000-05_2,2001-02_5,0.6352614793776262
59,2000-05_2,2001-02_7,0.4819973170828773
60,2000-05_2,2001-02_9,0.1673440048304834
61,2000-05_2,2001-02_10,0.4830507510995916
62,2000-05_2,2001-03_1,0.32416850326478613
63,2000-05_2,2001-03_2,0.5204700321655679
64,2000-05_2,2001-03_3,0.6752867250750736
65,2000-05_2,2001-03_4,0.599852926670428
66,2000-05_2,2001-03_6,0.5608743007222935
67,2000-05_2,2001-03_7,0.2867294767628739
68,2000-05_2,2001-03_9,0.4454037472339067
69,2000-05_2,2001-03_10,0.44089251068061147
70,2000-05_2,2001-03_11,0.5603018026772754
71,2000-05_2,2001-04_1,0.7178580244115961
72,2000-05_2,2001-04_2,0.4014341766671557
73,2000-05_2,2001-04_4,0.4408451993827735
74,2000-05_2,2001-04_5,0.402463074726957
75,2000-05_2,2001-04_6,0.4865859547835954
76,2000-05_2,2001-04_7,0.40545594525305795
77,2000-05_2,2001-04_10,0.6378112105669006
78,2000-05_2,2001-04_11,0.48401251470379075
79,2000-05_2,2001-05_1,0.36398298277317864
80,2000-05_2,2001-05_2,0.5978721020810802
81,2000-05_2,2001-05_3,0.36551094612667195
82,2000-05_2,2001-05_4,0.5609199082113226
83,2000-05_2,2001-05_6,0.4007775939199156
84,2000-05_2,2001-05_7,0.24622490177927644
85,2000-05_2,2001-05_8,0.557200753206631
86,2000-05_2,2001-05_11,0.5995651762763018
87,2000-05_2,2001-06_1,0.4871610093433964
88,2000-05_2,2001-06_2,0.599244439246823
89,2000-05_2,2001-06_3,0.51867652797614
90,2000-05_2,2001-06_4,0.4031169668017143
91,2000-05_2,2001-06_5,0.29086948583199623
92,2000-05_2,2001-06_6,0.45323001174429617
93,2000-05_2,2001-06_7,0.28779734035658366
94,2000-05_2,2001-06_8,0.14377768802534843
95,2000-05_2,2001-06_9,0.18760939704257687
96,2000-05_2,2001-07_1,0.33106904871455983
97,2000-05_2,2001-07_2,0.40178004052675237
98,2000-05_2,2001-07_3,0.4945016446040029
99,2000-05_2,2001-07_4,0.45010573717325414
